央视频道,#genre#

CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV16,http://goo.bkpcp.top/mg/cctv16
CCTV17,http://goo.bkpcp.top/mg/cctv17

CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV5+,http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CGTN,http://iptv.huuc.edu.cn/hls/cgtnhd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

CCTV1,http://106.111.244.182:60001/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://106.111.244.182:60001/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://106.111.244.182:60001/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://106.111.244.182:60001/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://106.111.244.182:60001/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://106.111.244.182:60001/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://106.111.244.182:60001/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://106.111.244.182:60001/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://106.111.244.182:60001/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://106.111.244.182:60001/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://106.111.244.182:60001/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://106.111.244.182:60001/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://106.111.244.182:60001/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://106.111.244.182:60001/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://106.111.244.182:60001/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://dsj.motem.top:8880/bptv/10000100000000050000000004796248.m3u8

CCTV3,http://113.64.146.94:2024/hls/20/index.m3u8
CCTV5,http://113.64.146.94:2024/hls/22/index.m3u8
